Venue,Bat First,Bat Second,Winner
Edgbaston,Pakistan,Australia,Pakistan
Edgbaston,Pakistan,Australia,Pakistan
Sophia Gardens,Pakistan,England,England
Sophia Gardens,Pakistan,England,England
Dubai International Cricket Stadium,Pakistan,New Zealand,Pakistan
Dubai International Cricket Stadium,Pakistan,New Zealand,Pakistan
Vidarbha Cricket Association Stadium,Sri Lanka,India,Sri Lanka
Punjab Cricket Association Stadium,Sri Lanka,India,India
Queen's Park Oval,Zimbabwe,West Indies,Zimbabwe
Sir Vivian Richards Stadium,South Africa,West Indies,South Africa
Dubai International Cricket Stadium,Afghanistan,Ireland,Afghanistan
Dubai International Cricket Stadium,Canada,Netherlands,Netherlands
Dubai International Cricket Stadium,Canada,Kenya,Kenya
Dubai International Cricket Stadium,Ireland,Scotland,Ireland
Dubai International Cricket Stadium,Afghanistan,Netherlands,Netherlands
Dubai International Cricket Stadium,Ireland,Netherlands,Ireland
Dubai International Cricket Stadium,Ireland,Afghanistan,Afghanistan
Dubai International Cricket Stadium,Pakistan,England,England
Dubai International Cricket Stadium,England,Pakistan,Pakistan
Western Australia Cricket Association Ground,Australia,Sri Lanka,Sri Lanka
Adelaide Oval,Australia,England,England
Melbourne Cricket Ground,Australia,England,Australia
Sir Vivian Richards Stadium,South Africa,West Indies,South Africa
Harare Sports Club,Zimbabwe,India,India
Harare Sports Club,Zimbabwe,India,India
Central Broward Regional Park Stadium Turf Ground,New Zealand,Sri Lanka,New Zealand
Central Broward Regional Park Stadium Turf Ground,New Zealand,Sri Lanka,Sri Lanka
Sheikh Zayed Stadium,Pakistan,South Africa,South Africa
OUTsurance Oval,Zimbabwe,South Africa,South Africa
De Beers Diamond Oval,South Africa,Zimbabwe,South Africa
Moses Mabhida Stadium,India,South Africa,India
Eden Park,Pakistan,New Zealand,New Zealand
Seddon Park,New Zealand,Pakistan,New Zealand
AMI Stadium,Pakistan,New Zealand,Pakistan
County Ground,England,Sri Lanka,Sri Lanka
Old Trafford,India,England,England
Sheikh Zayed Stadium,Pakistan,South Africa,South Africa
Beausejour Stadium,West Indies,Pakistan,West Indies
Queen's Park Oval,India,West Indies,India
Newlands,South Africa,Australia,Australia
New Wanderers Stadium,Australia,South Africa,South Africa
Pallekele International Cricket Stadium,Sri Lanka,Australia,Sri Lanka
Pallekele International Cricket Stadium,Sri Lanka,Australia,Sri Lanka
Stadium Australia,Australia,India,Australia
Melbourne Cricket Ground,Australia,India,India
Eden Park,Zimbabwe,New Zealand,New Zealand
Seddon Park,Zimbabwe,New Zealand,New Zealand
Westpac Stadium,South Africa,New Zealand,New Zealand
Seddon Park,New Zealand,South Africa,South Africa
Eden Park,South Africa,New Zealand,South Africa
Eden Gardens,India,England,England
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Kennington Oval,West Indies,England,England
Kennington Oval,West Indies,England,West Indies
Harare Sports Club,Zimbabwe,New Zealand,New Zealand
Harare Sports Club,New Zealand,Zimbabwe,New Zealand
Sheikh Zayed Stadium,Sri Lanka,Pakistan,Pakistan
Dubai International Cricket Stadium,Pakistan,England,Pakistan
Dubai International Cricket Stadium,England,Pakistan,England
Sheikh Zayed Stadium,England,Pakistan,England
Shere Bangla National Stadium,West Indies,Bangladesh,Bangladesh
Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,Zimbabwe,Sri Lanka
R Premadasa Stadium,Ireland,Australia,Australia
R Premadasa Stadium,India,Afghanistan,India
Mahinda Rajapaksa International Cricket Stadium,Zimbabwe,South Africa,South Africa
Pallekele International Cricket Stadium,New Zealand,Bangladesh,New Zealand
R Premadasa Stadium,England,Afghanistan,England
Mahinda Rajapaksa International Cricket Stadium,South Africa,Sri Lanka,South Africa
R Premadasa Stadium,West Indies,Australia,Australia
Pallekele International Cricket Stadium,Pakistan,New Zealand,Pakistan
R Premadasa Stadium,India,England,India
Pallekele International Cricket Stadium,Bangladesh,Pakistan,Pakistan
Pallekele International Cricket Stadium,West Indies,England,West Indies
R Premadasa Stadium,South Africa,Pakistan,Pakistan
R Premadasa Stadium,India,Australia,Australia
Pallekele International Cricket Stadium,New Zealand,England,England
Pallekele International Cricket Stadium,West Indies,Sri Lanka,Sri Lanka
R Premadasa Stadium,South Africa,Australia,Australia
R Premadasa Stadium,Pakistan,India,India
Pallekele International Cricket Stadium,Sri Lanka,England,Sri Lanka
R Premadasa Stadium,Pakistan,Australia,Pakistan
R Premadasa Stadium,India,South Africa,India
R Premadasa Stadium,Sri Lanka,Pakistan,Sri Lanka
R Premadasa Stadium,West Indies,Australia,West Indies
R Premadasa Stadium,West Indies,Sri Lanka,West Indies
Trent Bridge,West Indies,England,England
Riverside Ground,England,South Africa,South Africa
Edgbaston,England,South Africa,England
Shere Bangla National Stadium,Pakistan,Bangladesh,Pakistan
Beausejour Stadium,West Indies,Australia,Australia
Kensington Oval,West Indies,Australia,West Indies
Mombasa Sports Club Ground,Kenya,Ireland,Ireland
Mombasa Sports Club Ground,Kenya,Ireland,Ireland
Mombasa Sports Club Ground,Ireland,Kenya,Ireland
Dubai International Cricket Stadium,Netherlands,Canada,Netherlands
Dubai International Cricket Stadium,Kenya,Ireland,Ireland
Dubai International Cricket Stadium,Netherlands,Afghanistan,Afghanistan
Dubai International Cricket Stadium,Ireland,Scotland,Ireland
ICC Global Cricket Academy,Afghanistan,Canada,Afghanistan
Dubai International Cricket Stadium,Canada,Ireland,Ireland
Dubai International Cricket Stadium,Netherlands,Ireland,Ireland
Dubai International Cricket Stadium,Canada,Scotland,Scotland
Dubai International Cricket Stadium,Afghanistan,Ireland,Ireland
New Wanderers Stadium,South Africa,India,South Africa
Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,West Indies
Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,West Indies
Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,Pakistan,Sri Lanka
Mahinda Rajapaksa International Cricket Stadium,Pakistan,Sri Lanka,Pakistan
Pallekele International Cricket Stadium,India,Sri Lanka,India
Subrata Roy Sahara Stadium,England,India,India
Wankhede Stadium,India,England,England
MA Chidambaram Stadium,New Zealand,India,New Zealand
Kennington Oval,New Zealand,England,New Zealand
The Rose Bowl,Australia,England,Australia
Riverside Ground,England,Australia,England
Civil Service Cricket Club,Bangladesh,Ireland,Bangladesh
Sportpark Westvliet,Netherlands,Bangladesh,Bangladesh
Kingsmead,New Zealand,South Africa,South Africa
Buffalo Park,South Africa,New Zealand,New Zealand
St George's Park,South Africa,New Zealand,South Africa
SuperSport Park,Pakistan,South Africa,Pakistan
Eden Park,England,New Zealand,England
Seddon Park,New Zealand,England,New Zealand
Westpac Stadium,New Zealand,England,England
Dubai International Cricket Stadium,Australia,Pakistan,Pakistan
Dubai International Cricket Stadium,Australia,Pakistan,Australia
Stadium Australia,Australia,Sri Lanka,Sri Lanka
Melbourne Cricket Ground,Sri Lanka,Australia,Sri Lanka
Brisbane Cricket Ground,West Indies,Australia,West Indies
Sportpark Westvliet,Bangladesh,Netherlands,Netherlands
